project,timeing,tests,failed,error,skipped,mode
functor-sub-core,10.07,1137,0,0,0,baseTime
functor-sub-core,15.12,1137,0,0,0,ekstaziAEC
functor-sub-core,9.68,1137,0,0,0,baseTime
functor-surefireNotFound,7.43,0,0,0,0,ekstaziAEC
functor-sub-core,10.8,1137,0,0,0,baseTime
functor-surefireNotFound,6.98,0,0,0,0,ekstaziAEC
functor-sub-core,9.9,1137,0,0,0,baseTime
functor-sub-core,7.8,266,0,0,0,ekstaziAEC
functor-sub-core,10.05,1137,0,0,0,baseTime
functor-sub-core,7.28,52,0,0,0,ekstaziAEC
functor-sub-core,9.88,1134,0,0,0,baseTime
functor-sub-core,7.34,34,0,0,0,ekstaziAEC
functor-sub-core,9.84,1134,0,0,0,baseTime
functor-surefireNotFound,7.09,0,0,0,0,ekstaziAEC
functor-sub-core,9.88,1134,0,0,0,baseTime
functor-surefireNotFound,6.91,0,0,0,0,ekstaziAEC
functor-sub-core,9.91,1134,0,0,0,baseTime
functor-sub-core,7.62,262,0,0,0,ekstaziAEC
functor-sub-core,9.85,1134,0,0,0,baseTime
functor-surefireNotFound,7.37,0,0,0,0,ekstaziAEC
functor-sub-core,9.82,1134,0,0,0,baseTime
functor-surefireNotFound,6.94,0,0,0,0,ekstaziAEC
functor-sub-core,9.75,1134,0,0,0,baseTime
functor-surefireNotFound,6.92,0,0,0,0,ekstaziAEC
functor-sub-core,10.03,1134,0,0,0,baseTime
functor-surefireNotFound,7.19,0,0,0,0,ekstaziAEC
functor-sub-core,9.74,1134,0,0,0,baseTime
functor-surefireNotFound,6.8,0,0,0,0,ekstaziAEC
functor-sub-core,9.88,1134,0,0,0,baseTime
functor-sub-core,7.7,315,0,0,0,ekstaziAEC
functor-sub-core,10.08,1134,0,0,0,baseTime
functor-sub-core,7.47,135,0,0,0,ekstaziAEC
functor-sub-core,9.91,1134,0,0,0,baseTime
functor-sub-core,11.41,1119,0,0,0,ekstaziAEC
functor-sub-core,9.88,1134,0,0,0,baseTime
functor-surefireNotFound,6.99,0,0,0,0,ekstaziAEC
functor-sub-core,9.84,1134,0,0,0,baseTime
functor-sub-core,7.26,43,0,0,0,ekstaziAEC
functor-sub-core,9.97,1134,0,0,0,baseTime
functor-sub-core,7.5,262,0,0,0,ekstaziAEC
collections,21.88,13677,0,0,0,baseTime
collections,24.27,13677,0,0,0,ekstaziAEC
collections,21.73,13677,0,0,0,baseTime
collections,7.72,0,0,0,0,ekstaziAEC
collections,21.81,13677,0,0,0,baseTime
collections,7.48,0,0,0,0,ekstaziAEC
collections,22.36,13677,0,0,0,baseTime
collections,14.84,4666,0,0,0,ekstaziAEC
collections,21.8,13677,0,0,0,baseTime
collections,13.92,2393,0,0,0,ekstaziAEC
collections,22.34,13677,0,0,0,baseTime
collections,8.73,293,0,0,0,ekstaziAEC
collections,21.76,13677,0,0,0,baseTime
collections,7.71,0,0,0,0,ekstaziAEC
collections,22.24,13677,0,0,0,baseTime
